round,bot_a,bot_b,outcome_a,duration_minutes,category,division,elo_diff
1,262,341,1.0,10.03,normal,2,78.37
1,262,275,1.0,9.02,normal,2,60.41
1,262,1057,1.0,15.25,normal,2,83.7
1,262,357,1.0,6.5,normal,2,80.45
1,262,605,0.0,13.71,normal,2,48.8
1,759,730,0.0,9.93,normal,2,8.81
1,759,168,1.0,11.86,normal,2,8.16
1,759,1042,1.0,10.56,normal,2,43.39
1,759,971,1.0,13.08,normal,2,12.31
1,759,876,1.0,12.33,normal,2,63.78
1,759,998,1.0,9.34,normal,2,78.42
1,759,1023,1.0,13.45,normal,2,82.71
1,759,340,1.0,12.21,normal,2,22.12
1,759,901,0.0,12.6,normal,2,67.74
1,759,953,1.0,10.16,normal,2,27.63
1,759,708,1.0,11.11,normal,2,79.59
1,759,112,1.0,8.2,normal,2,114.88
1,759,809,1.0,10.94,normal,2,103.83
1,759,341,1.0,13.31,normal,2,116.54
1,759,275,1.0,11.29,normal,2,98.17
